app_cpu_mean,app_mem_mb_mean,cadvisor_cpu_mean,cadvisor_mem_mb_mean,case,error_rate,grafana_cpu_mean,grafana_mem_mb_mean,mean_latency_ms,p95_latency_ms,prometheus_cpu_mean,prometheus_mem_mb_mean,run,throughput_rps,wall_seconds
9.79,35.78,4.03,41.51,docker_prometheus,0.0,,,3.5044580199064512,5.253093000646913,1.19,59.48,6,2745.280193042004,0.10927846300000965
11.32,35.41,8.1,44.5,docker_prometheus,0.0,,,4.044305839979643,6.604836000406067,1.1,58.75,7,2365.5884285825746,0.1268183409993071
0.24,35.69,3.27,44.99,docker_prometheus,0.0,,,3.425256333339348,4.652722998798708,1.42,58.96,8,2791.4741196692826,0.1074700990011479
0.12,35.64,8.92,47.14,docker_prometheus,0.0,,,3.7928165367338806,5.834367000716156,0.05,58.75,9,2535.507029143708,0.11831953000000794
8.93,35.6,2.04,47.29,docker_prometheus,0.0,,,3.3652158399187706,4.234655998516246,0.05,59.64,10,2828.9361811062818,0.1060469309995824
8.9,36.31,9.77,50.56,docker_prometheus,0.0,,,3.397876469947126,4.76496400005999,0.04,59.87,11,2786.3162375056095,0.10766904199954297
0.29,35.57,2.37,49.56,docker_prometheus,0.0,,,3.5640236633662425,4.977223999958369,1.07,59.89,12,2708.7889610344687,0.11075059900031192
0.11,35.55,9.39,52.04,docker_prometheus,0.0,,,3.2700620233845257,4.465490999791655,0.08,59.83,13,2884.326175447437,0.10401042800003779
0.29,35.78,2.67,53.66,docker_prometheus,0.0,,,4.423423563348479,7.380234001175268,1.19,60.45,14,2184.8130759222954,0.13731151799947838
0.12,35.53,8.58,53.56,docker_prometheus,0.0,,,3.405076579989933,4.843703000005917,0.81,61.2,15,2819.149263065215,0.10641508200023964
7.94,37.27,2.74,53.9,docker_prometheus,0.0,,,3.6584377199627243,4.762108999784687,0.84,63.4,16,2595.1374805292876,0.11560081199968408
0.1,35.55,8.96,53.52,docker_prometheus,0.0,,,4.296243153360895,5.287777999910759,0.63,64.7,17,2264.041637177847,0.13250639699981548
0.25,35.55,2.85,56.14,docker_prometheus,0.0,,,4.098355029946106,6.939394999790238,0.69,64.43,18,2355.1399905775643,0.12738096300017787
0.11,35.54,7.73,56.89,docker_prometheus,0.0,,,3.9274478633403,5.5543900016346015,0.59,65.04,19,2452.354772690648,0.12233140300122614
0.34,35.54,2.88,57.38,docker_prometheus,0.0,,,4.046060263299296,5.646673998853657,0.75,64.93,20,2390.130405830844,0.1255161640001461
7.58,35.33,3.94,27.34,docker_full,0.0,0.04,60.67,4.304627063314304,6.225602000995423,0.07,46.23,1,2266.847636669533,0.13234237500000745
0.29,35.48,2.71,26.07,docker_full,0.0,0.02,60.71,4.768115106665694,6.316943999991054,2.82,45.66,2,2040.999669392414,0.14698679499997525
0.11,35.27,8.33,35.77,docker_full,0.0,0.1,60.71,4.370578419996794,5.846347999977297,0.6,47.63,3,2222.8049758067946,0.13496460700116586
0.29,35.29,2.56,36.11,docker_full,0.0,0.02,60.71,4.1503331867170346,5.7934500000556,2.31,49.68,4,2342.06870572977,0.12809188699975493
0.12,35.33,8.16,37.7,docker_full,0.0,0.03,60.71,3.70880486001018,5.392814999140683,0.77,49.91,5,2595.9859981756986,0.11556302700046217
8.03,35.51,8.9,42.02,docker_full,0.0,0.02,60.71,3.842760423291717,5.092360999697121,0.63,49.93,6,2515.2312764480453,0.11927332599952933
0.13,35.39,2.43,41.65,docker_full,0.0,0.03,60.72,3.9528983365865615,4.989936998754274,0.0,49.43,7,2436.332480529437,0.12313590300072974
0.26,35.42,8.41,43.8,docker_full,0.0,0.09,60.76,3.6821859033201085,4.8405469988210825,1.16,50.47,8,2618.687630583877,0.11456120099865075
0.22,35.41,2.82,43.58,docker_full,0.0,0.02,60.76,3.8444523400115336,4.884088000835618,0.0,49.53,9,2526.1925963723593,0.11875579099978495
0.33,35.42,9.47,47.62,docker_full,0.0,0.02,60.09,4.773127026674047,6.393717998435022,1.38,50.29,10,2043.3671855247533,0.14681649099838978
8.32,36.91,2.42,44.77,docker_full,0.0,0.02,60.09,5.279809143291156,7.638138999027433,0.01,49.56,11,1841.2533023296137,0.16293249800037302
0.33,35.5,8.69,47.16,docker_full,0.0,0.03,60.09,3.5535246066622976,5.498995000380091,0.79,50.31,12,2714.6205472454208,0.11051268299888761
0.11,35.74,8.37,49.59,docker_full,0.0,0.02,60.09,3.7206289400455717,5.518922000192106,0.6,51.6,13,2586.8683320465657,0.11597033999896667
0.26,35.75,2.51,47.99,docker_full,0.0,0.54,60.54,3.7085869533317846,5.20761599909747,0.79,53.83,14,2556.6313007946987,0.11734190999959537
0.12,35.51,8.46,50.76,docker_full,0.0,0.03,60.32,4.324852970015248,5.51172900122765,0.52,54.49,15,2243.2985605693666,0.13373164199947496
0.64,39.7,9.4,55.05,docker_full,0.0,0.02,60.32,4.381608076661602,6.711334999636165,0.83,56.23,16,2223.2176638127385,0.13493955400008417
0.12,35.96,3.19,54.9,docker_full,0.0,0.03,60.32,3.448102486624218,4.573805001200526,0.49,58.7,17,2812.526200440646,0.10666567299995222
8.04,35.7,9.09,57.12,docker_full,0.0,0.08,60.32,3.2901968133410264,4.070428001796245,0.75,62.12,18,2936.8570449141725,0.10215001799952006
0.16,35.52,9.51,58.02,docker_full,0.0,0.02,60.32,3.7682033700366446,5.672039998898981,0.62,64.2,19,2564.996432478555,0.11695922699982475
0.28,35.58,8.64,60.73,docker_full,0.0,0.02,64.94,3.327494389941421,3.938187999665388,0.81,65.79,20,2888.1915767598252,0.10387122599968279
